slug,title,level,requirements_detected,pdf,md,raw_txt,error
algas-marinas,algas marinas,3,15,/Users/abner/Downloads/S3/honors_pdf/algas_marinas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/algas-marinas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/algas-marinas.txt,
alimentos-congelados,alimentos congelados,2,10,/Users/abner/Downloads/S3/honors_pdf/alimentos_congelados.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/alimentos-congelados.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/alimentos-congelados.txt,
amarres,amarres,1,11,/Users/abner/Downloads/S3/honors_pdf/amarres.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/amarres.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/amarres.txt,
amarres-avanzado,amarres avanzado,2,11,/Users/abner/Downloads/S3/honors_pdf/amarres_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/amarres-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/amarres-avanzado.txt,
anfibios,anfibios,1,11,/Users/abner/Downloads/S3/honors_pdf/anfibios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/anfibios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/anfibios.txt,
anfibios-avanzado,anfibios avanzado,3,2,/Users/abner/Downloads/S3/honors_pdf/anfibios_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/anfibios-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/anfibios-avanzado.txt,
animales-domesticos,animales domesticos,2,8,/Users/abner/Downloads/S3/honors_pdf/animales_domesticos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/animales-domesticos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/animales-domesticos.txt,
animales-nocivos,animales nocivos,1,11,/Users/abner/Downloads/S3/honors_pdf/animales_nocivos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/animales-nocivos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/animales-nocivos.txt,
animales-nocturnos,animales nocturnos,1,8,/Users/abner/Downloads/S3/honors_pdf/animales_nocturnos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/animales-nocturnos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/animales-nocturnos.txt,
animales-venenosos,animales venenosos,1,12,/Users/abner/Downloads/S3/honors_pdf/animales_venenosos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/animales-venenosos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/animales-venenosos.txt,
antilopes,antilopes,1,15,/Users/abner/Downloads/S3/honors_pdf/antilopes.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/antilopes.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/antilopes.txt,
antilopes-avanzado,antilopes avanzado,2,20,/Users/abner/Downloads/S3/honors_pdf/antilopes_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/antilopes-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/antilopes-avanzado.txt,
apicultura,apicultura,2,15,/Users/abner/Downloads/S3/honors_pdf/apicultura.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/apicultura.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/apicultura.txt,
aracnidos,aracnidos,2,11,/Users/abner/Downloads/S3/honors_pdf/aracnidos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aracnidos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aracnidos.txt,
arboles,arboles,1,7,/Users/abner/Downloads/S3/honors_pdf/arboles.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arboles.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arboles.txt,
arboles-avanzado,arboles avanzado,3,10,/Users/abner/Downloads/S3/honors_pdf/arboles_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arboles-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arboles-avanzado.txt,
arbustos,arbustos,1,10,/Users/abner/Downloads/S3/honors_pdf/arbustos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arbustos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arbustos.txt,
arbustos-avanzado,arbustos avanzado,2,7,/Users/abner/Downloads/S3/honors_pdf/arbustos_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arbustos-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arbustos-avanzado.txt,
arena,arena,1,8,/Users/abner/Downloads/S3/honors_pdf/arena.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arena.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arena.txt,
arqueologia-biblica,arqueologia biblica,2,11,/Users/abner/Downloads/S3/honors_pdf/arqueologia_biblica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arqueologia-biblica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arqueologia-biblica.txt,
arrecifes-de-coral,arrecifes de coral,1,14,/Users/abner/Downloads/S3/honors_pdf/arrecifes_de_coral.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arrecifes-de-coral.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arrecifes-de-coral.txt,
arrecifes-de-coral-avanzado,arrecifes de coral avanzado,2,2,/Users/abner/Downloads/S3/honors_pdf/arrecifes_de_coral_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arrecifes-de-coral-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arrecifes-de-coral-avanzado.txt,
arte-cristiano-de-predicar,arte cristiano de predicar,2,10,/Users/abner/Downloads/S3/honors_pdf/arte_cristiano_de_predicar.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-cristiano-de-predicar.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-cristiano-de-predicar.txt,
arte-cristiano-de-predicar-avanzado,arte cristiano de predicar avanzado,3,8,/Users/abner/Downloads/S3/honors_pdf/arte_cristiano_de_predicar_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-cristiano-de-predicar-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-cristiano-de-predicar-avanzado.txt,
arte-cristiano-de-vender,arte cristiano de vender,2,9,/Users/abner/Downloads/S3/honors_pdf/arte_cristiano_de_vender.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-cristiano-de-vender.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-cristiano-de-vender.txt,
arte-culinario,arte culinario,1,11,/Users/abner/Downloads/S3/honors_pdf/arte_culinario.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-culinario.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-culinario.txt,
arte-culinario-avanzado,arte culinario avanzado,2,13,/Users/abner/Downloads/S3/honors_pdf/arte_culinario_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-culinario-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-culinario-avanzado.txt,
arte-de-acampar,arte de acampar,1,10,/Users/abner/Downloads/S3/honors_pdf/arte_de_acampar.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-de-acampar.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-de-acampar.txt,
arte-de-envolver-regalos,arte de envolver regalos,1,5,/Users/abner/Downloads/S3/honors_pdf/arte_de_envolver_regalos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-de-envolver-regalos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-de-envolver-regalos.txt,
arte-de-hacer-tarjetas,arte de hacer tarjetas,1,13,/Users/abner/Downloads/S3/honors_pdf/arte_de_hacer_tarjetas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-de-hacer-tarjetas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-de-hacer-tarjetas.txt,
arte-de-hacer-velas,arte de hacer velas,2,5,/Users/abner/Downloads/S3/honors_pdf/arte_de_hacer_velas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-de-hacer-velas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-de-hacer-velas.txt,
arte-en-bambu,arte en bambu,1,10,/Users/abner/Downloads/S3/honors_pdf/arte_en_bambu.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-en-bambu.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-en-bambu.txt,
arte-en-hilo,arte en hilo,1,5,/Users/abner/Downloads/S3/honors_pdf/arte_en_hilo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-en-hilo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-en-hilo.txt,
arte-en-masa-de-pan,arte en masa de pan,1,7,/Users/abner/Downloads/S3/honors_pdf/arte_en_masa_de_pan.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-en-masa-de-pan.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-en-masa-de-pan.txt,
arte-en-plastico,arte en plastico,2,8,/Users/abner/Downloads/S3/honors_pdf/arte_en_plastico.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/arte-en-plastico.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/arte-en-plastico.txt,
artes-y-trabajos-indigenas,artes y trabajos indigenas,1,15,/Users/abner/Downloads/S3/honors_pdf/artes_y_trabajos_indigenas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/artes-y-trabajos-indigenas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/artes-y-trabajos-indigenas.txt,
artes-y-trabajos-indigenas-avanzado,artes y trabajos indigenas avanzado,2,20,/Users/abner/Downloads/S3/honors_pdf/artes_y_trabajos_indigenas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/artes-y-trabajos-indigenas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/artes-y-trabajos-indigenas-avanzado.txt,
artesania,artesania,2,14,/Users/abner/Downloads/S3/honors_pdf/artesania.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/artesania.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/artesania.txt,
audio-y-sonido,audio y sonido,2,13,/Users/abner/Downloads/S3/honors_pdf/audio_y_sonido.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/audio-y-sonido.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/audio-y-sonido.txt,
audio-y-sonido-avanzado,audio y sonido avanzado,3,11,/Users/abner/Downloads/S3/honors_pdf/audio_y_sonido_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/audio-y-sonido-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/audio-y-sonido-avanzado.txt,
automodelismo,automodelismo,2,3,/Users/abner/Downloads/S3/honors_pdf/automodelismo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/automodelismo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/automodelismo.txt,
auxilio-de-las-catastrofes-adra,auxilio de las catastrofes adra,1,6,/Users/abner/Downloads/S3/honors_pdf/auxilio_de_las_catastrofes_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/auxilio-de-las-catastrofes-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/auxilio-de-las-catastrofes-adra.txt,
auxilio-de-las-catastrofes-avanzado-adra,auxilio de las catastrofes avanzado adra,2,6,/Users/abner/Downloads/S3/honors_pdf/auxilio_de_las_catastrofes_avanzado_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/auxilio-de-las-catastrofes-avanzado-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/auxilio-de-las-catastrofes-avanzado-adra.txt,
aventurero-para-cristo,aventurero para cristo,1,4,/Users/abner/Downloads/S3/honors_pdf/aventurero_para_cristo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aventurero-para-cristo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aventurero-para-cristo.txt,
aventurero-para-cristo-avanzado,aventurero para cristo avanzado,2,6,/Users/abner/Downloads/S3/honors_pdf/aventurero_para_cristo_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aventurero-para-cristo-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aventurero-para-cristo-avanzado.txt,
aves,aves,1,10,/Users/abner/Downloads/S3/honors_pdf/aves.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves.txt,
aves-australianas,aves australianas,1,16,/Users/abner/Downloads/S3/honors_pdf/aves_australianas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-australianas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-australianas.txt,
aves-avanzado,aves avanzado,3,13,/Users/abner/Downloads/S3/honors_pdf/aves_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-avanzado.txt,
aves-de-jaula,aves de jaula,1,6,/Users/abner/Downloads/S3/honors_pdf/aves_de_jaula.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-de-jaula.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-de-jaula.txt,
aves-de-rapinia,aves de rapinia,1,9,/Users/abner/Downloads/S3/honors_pdf/aves_de_rapinia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-de-rapinia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-de-rapinia.txt,
aves-de-rapinia-avanzado,aves de rapinia avanzado,1,7,/Users/abner/Downloads/S3/honors_pdf/aves_de_rapinia_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-de-rapinia-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-de-rapinia-avanzado.txt,
aves-domesticas,aves domesticas,2,6,/Users/abner/Downloads/S3/honors_pdf/aves_domesticas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aves-domesticas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aves-domesticas.txt,
aviadores,aviadores,2,7,/Users/abner/Downloads/S3/honors_pdf/aviadores.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/aviadores.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/aviadores.txt,
avicultura,avicultura,2,8,/Users/abner/Downloads/S3/honors_pdf/avicultura.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/avicultura.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/avicultura.txt,
ayuda-alimenticia-adra,ayuda alimenticia adra,1,5,/Users/abner/Downloads/S3/honors_pdf/ayuda_alimenticia_adra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/ayuda-alimenticia-adra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/ayuda-alimenticia-adra.txt,
azucar-de-arce,azucar de arce,1,13,/Users/abner/Downloads/S3/honors_pdf/azucar_de_arce.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/azucar-de-arce.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/azucar-de-arce.txt,
azucar-de-arce-avanzado,azucar de arce avanzado,3,18,/Users/abner/Downloads/S3/honors_pdf/azucar_de_arce_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/azucar-de-arce-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/azucar-de-arce-avanzado.txt,
bacterias,bacterias,2,11,/Users/abner/Downloads/S3/honors_pdf/bacterias.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bacterias.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bacterias.txt,
baloncesto,baloncesto,1,10,/Users/abner/Downloads/S3/honors_pdf/baloncesto.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/baloncesto.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/baloncesto.txt,
balonmano,balonmano,1,18,/Users/abner/Downloads/S3/honors_pdf/balonmano.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/balonmano.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/balonmano.txt,
banderas,banderas,1,10,/Users/abner/Downloads/S3/honors_pdf/banderas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/banderas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/banderas.txt,
banderas-avanzado,banderas avanzado,2,11,/Users/abner/Downloads/S3/honors_pdf/banderas_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/banderas-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/banderas-avanzado.txt,
banderas-nauticas,banderas nauticas,2,6,/Users/abner/Downloads/S3/honors_pdf/banderas_nauticas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/banderas-nauticas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/banderas-nauticas.txt,
bibliotecologia,bibliotecologia,2,13,/Users/abner/Downloads/S3/honors_pdf/bibliotecologia.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bibliotecologia.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bibliotecologia.txt,
bioquimica,bioquimica,3,17,/Users/abner/Downloads/S3/honors_pdf/bioquimica.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bioquimica.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bioquimica.txt,
bioquimica-avanzado,bioquimica avanzado,3,22,/Users/abner/Downloads/S3/honors_pdf/bioquimica_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bioquimica-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bioquimica-avanzado.txt,
blogs,blogs,2,7,/Users/abner/Downloads/S3/honors_pdf/blogs.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/blogs.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/blogs.txt,
boliche,boliche,1,11,/Users/abner/Downloads/S3/honors_pdf/boliche.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/boliche.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/boliche.txt,
bordado-en-punto-cruz,bordado en punto cruz,2,6,/Users/abner/Downloads/S3/honors_pdf/bordado_en_punto_cruz.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bordado-en-punto-cruz.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bordado-en-punto-cruz.txt,
bosques-templados-caducifolios,bosques templados caducifolios,1,11,/Users/abner/Downloads/S3/honors_pdf/bosques_templados_caducifolios.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/bosques-templados-caducifolios.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/bosques-templados-caducifolios.txt,
botemodelismo,botemodelismo,2,2,/Users/abner/Downloads/S3/honors_pdf/botemodelismo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/botemodelismo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/botemodelismo.txt,
braille,braille,2,12,/Users/abner/Downloads/S3/honors_pdf/braille.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/braille.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/braille.txt,
briofitas,briofitas,2,9,/Users/abner/Downloads/S3/honors_pdf/briofitas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/briofitas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/briofitas.txt,
buceo,buceo,2,8,/Users/abner/Downloads/S3/honors_pdf/buceo.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/buceo.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/buceo.txt,
buceo-con-escafandra,buceo con escafandra,3,1,/Users/abner/Downloads/S3/honors_pdf/buceo_con_escafandra.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/buceo-con-escafandra.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/buceo-con-escafandra.txt,
buceo-con-escafandra-avanzado,buceo con escafandra avanzado,3,2,/Users/abner/Downloads/S3/honors_pdf/buceo_con_escafandra_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/buceo-con-escafandra-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/buceo-con-escafandra-avanzado.txt,
buena-conducta-escolar,buena conducta escolar,1,6,/Users/abner/Downloads/S3/honors_pdf/buena_conducta_escolar.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/buena-conducta-escolar.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/buena-conducta-escolar.txt,
burbujas,burbujas,2,8,/Users/abner/Downloads/S3/honors_pdf/burbujas.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/burbujas.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/burbujas.txt,
cactus,cactus,1,8,/Users/abner/Downloads/S3/honors_pdf/cactus.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cactus.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cactus.txt,
cactus-avanzado,cactus avanzado,3,5,/Users/abner/Downloads/S3/honors_pdf/cactus_avanzado.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/cactus-avanzado.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/cactus-avanzado.txt,
camellos,camellos,2,6,/Users/abner/Downloads/S3/honors_pdf/camellos.pdf,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/md/camellos.md,/Users/abner/Documents/development/sacdia/docs/working/honors-especialidades/raw/camellos.txt,
